#,uniqueID,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary,EXP,MALE,FEMALE,Catch Rate,HEIGHT(dm),WEIGHT(hectogram) ,FRIENDSHIP,BASE EXP YEILD,HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Total EVs,Egg Group 1,Egg Group 2,Cycles,Steps,Gen III,Gen IV,Gen V-VI,Gen VII
62,62,Poliwrath,Water,Fighting,510,90,95,95,70,90,70,1,FALSE,MS,50,50,45,13,540,70,230,0,0,3,0,0,0,3,Water 1,—,20,5120,5376,5355,5140,5120
63,63,Abra,Psychic,,310,25,20,15,105,55,90,1,FALSE,MS,75,25,200,9,195,70,62,0,0,0,1,0,0,1,Human-Like,—,20,5120,5376,5355,5140,5120
64,64,Kadabra,Psychic,,400,40,35,30,120,70,105,1,FALSE,MS,75,25,100,13,565,70,140,0,0,0,2,0,0,2,Human-Like,—,20,5120,5376,5355,5140,5120
65,65,Alakazam,Psychic,,500,55,50,45,135,95,120,1,FALSE,MS,75,25,50,15,480,70,225,0,0,0,3,0,0,3,Human-Like,—,20,5120,5376,5355,5140,5120
65,065M,Alakazam (Mega Alakazam),Psychic,,590,55,50,65,175,95,150,1,FALSE,MS,75,25,50,12,480,70,270,0,0,0,3,0,0,3,Human-Like,—,20,5120,5376,5355,5140,5120
66,66,Machop,Fighting,,305,70,80,50,35,35,35,1,FALSE,MS,75,25,180,8,195,70,61,0,1,0,0,0,0,1,Human-Like,—,20,5120,5376,5355,5140,5120
67,67,Machoke,Fighting,,405,80,100,70,50,60,45,1,FALSE,MS,75,25,90,15,705,70,142,0,2,0,0,0,0,2,Human-Like,—,20,5120,5376,5355,5140,5120
68,68,Machamp,Fighting,,505,90,130,80,65,85,55,1,FALSE,MS,75,25,45,16,1300,70,227,0,3,0,0,0,0,3,Human-Like,—,20,5120,5376,5355,5140,5120
69,69,Bellsprout,Grass,Poison,300,50,75,35,70,30,40,1,FALSE,MS,50,50,255,7,40,70,60,0,1,0,0,0,0,1,Grass,—,20,5120,5376,5355,5140,5120
70,70,Weepinbell,Grass,Poison,390,65,90,50,85,45,55,1,FALSE,MS,50,50,120,10,64,70,137,0,2,0,0,0,0,2,Grass,—,20,5120,5376,5355,5140,5120
71,71,Victreebel,Grass,Poison,490,80,105,65,100,70,70,1,FALSE,SL,50,50,45,17,155,70,221,0,3,0,0,0,0,3,Grass,—,20,5120,5376,5355,5140,5120
72,72,Tentacool,Water,Poison,335,40,40,35,50,100,70,1,FALSE,SL,50,50,190,9,455,70,67,0,0,0,0,1,0,1,Water 3,—,20,5120,5376,5355,5140,5120
73,73,Tentacruel,Water,Poison,515,80,70,65,80,120,100,1,FALSE,MS,50,50,60,16,550,70,180,0,0,0,0,2,0,2,Water 3,—,20,5120,5376,5355,5140,5120
74,74,Geodude,Rock,Ground,300,40,80,100,30,30,20,1,FALSE,MS,50,50,255,4,200,70,60,0,0,1,0,0,0,1,Mineral,—,15,3840,4096,4080,3855,3840
75,75,Graveler,Rock,Ground,390,55,95,115,45,45,35,1,FALSE,MS,50,50,120,10,1050,70,137,0,0,2,0,0,0,2,Mineral,—,15,3840,4096,4080,3855,3840
76,76,Golem,Rock,Ground,495,80,120,130,55,65,45,1,FALSE,MS,50,50,45,14,3000,70,223,0,0,3,0,0,0,3,Mineral,—,15,3840,4096,4080,3855,3840
77,77,Ponyta,Fire,,410,50,85,55,65,65,90,1,FALSE,MF,50,50,190,10,300,70,82,0,0,0,0,0,1,1,Field,—,20,5120,5376,5355,5140,5120
78,78,Rapidash,Fire,,500,65,100,70,80,80,105,1,FALSE,MF,50,50,60,17,950,70,175,0,0,0,0,0,2,2,Field,—,20,5120,5376,5355,5140,5120
79,79,Slowpoke,Water,Psychic,315,90,65,65,40,40,15,1,FALSE,MF,50,50,190,12,360,70,63,1,0,0,0,0,0,1,Monster,Water 1,20,5120,5376,5355,5140,5120
80,80,Slowbro,Water,Psychic,490,95,75,110,100,80,30,1,FALSE,MF,50,50,75,16,785,70,172,0,0,2,0,0,0,2,Monster,Water 1,20,5120,5376,5355,5140,5120
80,080M,Slowbro (Mega Slowbro),Water,Psychic,590,95,75,180,130,80,30,1,FALSE,MF,50,50,75,20,1200,70,207,0,0,2,0,0,0,2,Monster,Water 1,20,5120,5376,5355,5140,5120
81,81,Magnemite,Electric,Steel,325,25,35,70,95,55,45,1,FALSE,MF,0,0,190,3,60,70,65,0,0,0,1,0,0,1,Mineral,—,20,5120,5376,5355,5140,5120
82,82,Magneton,Electric,Steel,465,50,60,95,120,70,70,1,FALSE,MF,0,0,60,10,600,70,163,0,0,0,2,0,0,2,Mineral,—,20,5120,5376,5355,5140,5120
83,83,Farfetch'd,Normal,Flying,352,52,65,55,58,62,60,1,FALSE,MF,50,50,45,8,150,70,132,0,1,0,0,0,0,1,Flying,Field,20,5120,5376,5355,5140,5120
84,84,Doduo,Normal,Flying,310,35,85,45,35,35,75,1,FALSE,MF,50,50,190,14,392,70,62,0,1,0,0,0,0,1,Flying,—,20,5120,5376,5355,5140,5120
85,85,Dodrio,Normal,Flying,460,60,110,70,60,60,100,1,FALSE,MF,50,50,45,18,852,70,165,0,2,0,0,0,0,2,Flying,—,20,5120,5376,5355,5140,5120
86,86,Seel,Water,,325,65,45,55,45,70,45,1,FALSE,MF,50,50,190,11,900,70,65,0,0,0,0,1,0,1,Water 1,Field,20,5120,5376,5355,5140,5120
87,87,Dewgong,Water,Ice,475,90,70,80,70,95,70,1,FALSE,MF,50,50,75,17,1200,70,166,0,0,0,0,2,0,2,Water 1,Field,20,5120,5376,5355,5140,5120
88,88,Grimer,Poison,,325,80,80,50,40,50,25,1,FALSE,MF,50,50,190,9,300,70,65,1,0,0,0,0,0,1,Amorphous,—,20,5120,5376,5355,5140,5120
89,89,Muk,Poison,,500,105,105,75,65,100,50,1,FALSE,MF,50,50,75,12,300,70,175,1,1,0,0,0,0,2,Amorphous,—,20,5120,5376,5355,5140,5120
90,90,Shellder,Water,,305,30,65,100,45,25,40,1,FALSE,SL,50,50,190,3,40,70,61,0,0,1,0,0,0,1,Water 3,—,20,5120,5376,5355,5140,5120
91,91,Cloyster,Water,Ice,525,50,95,180,85,45,70,1,FALSE,SL,50,50,60,15,1325,70,184,0,0,2,0,0,0,2,Water 3,—,20,5120,5376,5355,5140,5120
92,92,Gastly,Ghost,Poison,310,30,35,30,100,35,80,1,FALSE,MS,50,50,190,13,1,70,62,0,0,0,1,0,0,1,Amorphous,—,20,5120,5376,5355,5140,5120
93,93,Haunter,Ghost,Poison,405,45,50,45,115,55,95,1,FALSE,MS,50,50,90,16,1,70,142,0,0,0,2,0,0,2,Amorphous,—,20,5120,5376,5355,5140,5120
94,94,Gengar,Ghost,Poison,500,60,65,60,130,75,110,1,FALSE,MS,50,50,45,15,405,70,225,0,0,0,3,0,0,3,Amorphous,—,20,5120,5376,5355,5140,5120
94,094M,Gengar (Mega Gengar),Ghost,Poison,600,60,65,80,170,95,130,1,FALSE,MS,50,50,45,14,405,70,270,0,0,0,3,0,0,3,Amorphous,—,20,5120,5376,5355,5140,5120
95,95,Onix,Rock,Ground,385,35,45,160,30,45,70,1,FALSE,MF,50,50,45,88,2100,70,77,0,0,1,0,0,0,1,Mineral,—,25,6400,6656,6630,6425,6400
96,96,Drowzee,Psychic,,328,60,48,45,43,90,42,1,FALSE,MF,50,50,190,10,324,70,66,0,0,0,0,1,0,1,Human-Like,—,20,5120,5376,5355,5140,5120
97,97,Hypno,Psychic,,483,85,73,70,73,115,67,1,FALSE,MF,50,50,75,16,756,70,169,0,0,0,0,2,0,2,Human-Like,—,20,5120,5376,5355,5140,5120
98,98,Krabby,Water,,325,30,105,90,25,25,50,1,FALSE,MF,50,50,225,4,65,70,65,0,1,0,0,0,0,1,Water 3,—,20,5120,5376,5355,5140,5120
99,99,Kingler,Water,,475,55,130,115,50,50,75,1,FALSE,MF,50,50,60,13,600,70,166,0,2,0,0,0,0,2,Water 3,—,20,5120,5376,5355,5140,5120
100,100,Voltorb,Electric,,330,40,30,50,55,55,100,1,FALSE,MF,0,0,190,5,104,70,66,0,0,0,0,0,1,1,Mineral,—,20,5120,5376,5355,5140,5120
101,101,Electrode,Electric,,480,60,50,70,80,80,140,1,FALSE,MF,0,0,60,12,666,70,172,0,0,0,0,0,2,2,Mineral,—,20,5120,5376,5355,5140,5120
102,102,Exeggcute,Grass,Psychic,325,60,40,80,60,45,40,1,FALSE,SL,50,50,90,4,25,70,65,0,0,1,0,0,0,1,Grass,—,20,5120,5376,5355,5140,5120
103,103,Exeggutor,Grass,Psychic,520,95,95,85,125,65,55,1,FALSE,SL,50,50,45,20,1200,70,186,0,0,0,2,0,0,2,Grass,—,20,5120,5376,5355,5140,5120
104,104,Cubone,Ground,,320,50,50,95,40,50,35,1,FALSE,MF,50,50,190,4,65,70,64,0,0,1,0,0,0,1,Monster,—,20,5120,5376,5355,5140,5120
105,105,Marowak,Ground,,425,60,80,110,50,80,45,1,FALSE,MF,50,50,75,10,450,70,149,0,0,2,0,0,0,2,Monster,—,20,5120,5376,5355,5140,5120
106,106,Hitmonlee,Fighting,,455,50,120,53,35,110,87,1,FALSE,MF,100,0,45,15,498,70,159,0,2,0,0,0,0,2,Human-Like,—,25,6400,6656,6630,6425,6400
107,107,Hitmonchan,Fighting,,455,50,105,79,35,110,76,1,FALSE,MF,100,0,45,14,502,70,159,0,0,0,0,2,0,2,Human-Like,—,25,6400,6656,6630,6425,6400
108,108,Lickitung,Normal,,385,90,55,75,60,75,30,1,FALSE,MF,50,50,45,12,655,70,77,2,0,0,0,0,0,2,Monster,—,20,5120,5376,5355,5140,5120
109,109,Koffing,Poison,,340,40,65,95,60,45,35,1,FALSE,MF,50,50,190,6,10,70,68,0,0,1,0,0,0,1,Amorphous,—,20,5120,5376,5355,5140,5120
110,110,Weezing,Poison,,490,65,90,120,85,70,60,1,FALSE,MF,50,50,60,12,95,70,172,0,0,2,0,0,0,2,Amorphous,—,20,5120,5376,5355,5140,5120
111,111,Rhyhorn,Ground,Rock,345,80,85,95,30,30,25,1,FALSE,SL,50,50,120,10,1150,70,69,0,0,1,0,0,0,1,Monster,Field,20,5120,5376,5355,5140,5120
112,112,Rhydon,Ground,Rock,485,105,130,120,45,45,40,1,FALSE,SL,50,50,60,19,1200,70,170,0,2,0,0,0,0,2,Monster,Field,20,5120,5376,5355,5140,5120
113,113,Chansey,Normal,,450,250,5,5,35,105,50,1,FALSE,FA,0,100,30,11,346,140,395,2,0,0,0,0,0,2,Fairy,—,40,10240,10496,10455,10280,10240
114,114,Tangela,Grass,,435,65,55,115,100,40,60,1,FALSE,MF,50,50,45,10,350,70,87,0,0,1,0,0,0,1,Grass,—,20,5120,5376,5355,5140,5120
115,115,Kangaskhan,Normal,,490,105,95,80,40,80,90,1,FALSE,MF,0,100,45,22,800,70,172,2,0,0,0,0,0,2,Monster,—,20,5120,5376,5355,5140,5120
115,115M,Kangaskhan (Mega Kangaskhan),Normal,,590,105,125,100,60,100,100,1,FALSE,MF,0,100,45,22,1000,70,207,2,0,0,0,0,0,2,Monster,—,20,5120,5376,5355,5140,5120
116,116,Horsea,Water,,295,30,40,70,70,25,60,1,FALSE,MF,50,50,225,4,80,70,59,0,0,0,1,0,0,1,Water 1,Dragon,20,5120,5376,5355,5140,5120
117,117,Seadra,Water,,440,55,65,95,95,45,85,1,FALSE,MF,50,50,75,12,250,70,154,0,0,1,1,0,0,2,Water 1,Dragon,20,5120,5376,5355,5140,5120
118,118,Goldeen,Water,,320,45,67,60,35,50,63,1,FALSE,MF,50,50,225,6,150,70,64,0,1,0,0,0,0,1,Water 2,—,20,5120,5376,5355,5140,5120
119,119,Seaking,Water,,450,80,92,65,65,80,68,1,FALSE,MF,50,50,60,13,390,70,158,0,2,0,0,0,0,2,Water 2,—,20,5120,5376,5355,5140,5120
120,120,Staryu,Water,,340,30,45,55,70,55,85,1,FALSE,SL,0,0,225,8,345,70,68,0,0,0,0,0,1,1,Water 3,—,20,5120,5376,5355,5140,5120
121,121,Starmie,Water,Psychic,520,60,75,85,100,85,115,1,FALSE,SL,0,0,60,11,800,70,182,0,0,0,0,0,2,2,Water 3,—,20,5120,5376,5355,5140,5120
122,122,Mr. Mime,Psychic,Fairy,460,40,45,65,100,120,90,1,FALSE,MF,50,50,45,13,545,70,161,0,0,0,0,2,0,2,Human-Like,—,25,6400,6656,6630,6425,6400
123,123,Scyther,Bug,Flying,500,70,110,80,55,80,105,1,FALSE,MF,50,50,45,15,560,70,100,0,1,0,0,0,0,1,Bug,—,25,6400,6656,6630,6425,6400
124,124,Jynx,Ice,Psychic,455,65,50,35,115,95,95,1,FALSE,MF,0,100,45,14,406,70,159,0,0,0,2,0,0,2,Human-Like,—,25,6400,6656,6630,6425,6400
125,125,Electabuzz,Electric,,490,65,83,57,95,85,105,1,FALSE,MF,75,25,45,11,300,70,172,0,0,0,0,0,2,2,Human-Like,—,25,6400,6656,6630,6425,6400
126,126,Magmar,Fire,,495,65,95,57,100,85,93,1,FALSE,MF,75,25,45,13,445,70,173,0,0,0,2,0,0,2,Human-Like,—,25,6400,6656,6630,6425,6400
127,127,Pinsir,Bug,,500,65,125,100,55,70,85,1,FALSE,SL,50,50,45,15,550,70,175,0,2,0,0,0,0,2,Bug,—,25,6400,6656,6630,6425,6400
127,127M,Pinsir (Mega Pinsir),Bug,Flying,600,65,155,120,65,90,105,1,FALSE,SL,50,50,45,17,590,70,210,0,2,0,0,0,0,2,Bug,—,25,6400,6656,6630,6425,6400
128,128,Tauros,Normal,,490,75,100,95,40,70,110,1,FALSE,SL,100,0,45,14,884,70,172,0,1,0,0,0,1,2,Field,—,20,5120,5376,5355,5140,5120
129,129,Magikarp,Water,,200,20,10,55,15,20,80,1,FALSE,SL,50,50,255,9,100,70,40,0,0,0,0,0,1,1,Water 2,Dragon,5,1280,1536,1530,1285,1280
130,130,Gyarados,Water,Flying,540,95,125,79,60,100,81,1,FALSE,SL,50,50,45,65,2350,70,189,0,2,0,0,0,0,2,Water 2,Dragon,5,1280,1536,1530,1285,1280
130,130M,Gyarados (Mega Gyarados),Water,Dark,640,95,155,109,70,130,81,1,FALSE,SL,50,50,45,65,3050,70,224,0,2,0,0,0,0,2,Water 2,Dragon,5,1280,1536,1530,1285,1280
131,131,Lapras,Water,Ice,535,130,85,80,85,95,60,1,FALSE,SL,50,50,45,25,2200,70,187,2,0,0,0,0,0,2,Monster,Water 1,40,10240,10496,10455,10280,10240
132,132,Ditto,Normal,,288,48,48,48,48,48,48,1,FALSE,MF,0,0,35,3,40,70,101,1,0,0,0,0,0,1,Ditto,—,20,5120,5376,5355,5140,5120
